id,report_year,metric_id,value,value_text,is_adjusted,adjustment_note
294,2014,10,17.0,,False,
295,2014,11,,,False,
296,2014,12,,,False,
297,2014,13,,,False,
298,2014,14,2.0,,False,
299,2014,15,1.0,,False,
300,2014,16,3.0,,False,
301,2014,17,4.0,,False,
302,2014,18,1.0,,False,
303,2014,19,5.0,,False,
304,2014,20,25.0,,False,
305,2014,21,17.0,,False,
306,2014,22,60.0,,False,
307,2014,23,90.0,,False,
308,2014,24,40.0,,False,
309,2014,25,62.0,,False,
310,2014,26,115.0,,False,
311,2014,27,38432.0,,False,
312,2013,8,17.0,,False,
313,2013,9,0.0,,False,
314,2013,10,17.0,,False,
315,2013,11,,,False,
316,2013,12,,,False,
317,2013,13,,,False,
318,2013,14,3.0,,False,
319,2013,15,1.0,,False,
320,2013,16,4.0,,False,
321,2013,17,3.0,,False,
322,2013,18,1.0,,False,
323,2013,19,4.0,,False,
324,2013,20,25.0,,False,
325,2013,21,16.0,,False,
326,2013,22,57.0,,False,
327,2013,23,46.0,,False,
328,2013,24,39.0,,False,
329,2013,25,59.0,,False,
330,2013,26,71.0,,False,
331,2013,27,37313.0,,False,
332,2012,8,16.0,,False,
333,2012,9,0.0,,False,
334,2012,10,,,False,
335,2012,11,,,False,
336,2012,12,,,False,
337,2012,13,,,False,
338,2012,14,2.0,,False,
339,2012,15,2.0,,False,
340,2012,16,4.0,,False,
341,2012,17,4.0,,False,
342,2012,18,0.0,,False,
343,2012,19,4.0,,False,
344,2012,20,23.5,,False,
345,2012,21,16.0,,False,
346,2012,22,44.0,,False,
347,2012,23,41.0,,False,
348,2012,24,38.0,,False,
349,2012,25,46.0,,False,
350,2012,26,64.5,,False,
351,2012,27,35868.0,,False,
352,2024,28,4.6,,False,
353,2024,29,8450000.0,,False,
354,2024,30,0.0,,False,
355,2024,31,8450000.0,,False,
356,2024,32,0.0,,False,
357,2024,33,634916.78,,False,
358,2024,34,634917.0,,False,
359,2024,35,0.0,,False,
360,2024,36,634917.0,,False,
361,2024,37,7641.0,,False,
362,2024,38,0.0,,False,
363,2024,39,7641.0,,False,
364,2024,40,0.0,,False,
365,2024,41,51200.0,,False,
366,2024,42,0.0,,False,
367,2024,43,9143758.0,,False,
368,2024,44,0.0,,False,
369,2024,45,,,False,
370,2024,46,9143758.0,,False,
371,2023,28,4.8,,False,
372,2023,29,7970000.0,,False,
373,2023,30,0.0,,False,
374,2023,31,7970000.0,,False,
375,2023,32,0.0,,False,
376,2023,33,634917.0,,False,
377,2023,34,634917.0,,False,
378,2023,35,0.0,,False,
379,2023,36,634917.0,,False,
380,2023,37,55771.0,,False,
381,2023,38,0.0,,False,
382,2023,39,55771.0,,False,
383,2023,40,0.0,,False,
384,2023,41,60500.0,,False,
385,2023,42,0.0,,False,
386,2023,43,8721188.0,,False,
387,2023,44,0.0,,False,
388,2023,45,,,False,
389,2023,46,8721188.0,,False,
390,2022,28,4.8,,False,
391,2022,29,7736000.0,,False,
392,2022,30,0.0,,False,
393,2022,31,7736000.0,,False,
394,2022,32,0.0,,False,
395,2022,33,459154.0,,False,
396,2022,34,459154.0,,False,
397,2022,35,49623.0,,False,
398,2022,36,508777.0,,False,
399,2022,37,33000.0,,False,
